Date,Q,TS,TVS,Alkalinity,VFA,Biogas
10/20/2008,800,48.92,23.30,957.78,511.41,6797
10/21/2008,800,40.86,20.72,986.73,479.78,6817
10/23/2008,700,23.69,9.91,1001.00,244.32,4213
10/24/2008,890,35.31,19.15,657.14,154.31,5320
10/25/2008,770,63.00,30.24,1211.00,641.16,6124
10/26/2008,890,54.19,26.26,1014.00,427.39,6779
10/27/2008,900,52.31,23.71,889.80,448.23,6164
10/28/2008,510,43.00,20.32,1346.00,204.68,4276
11/2/2008,520,18.25,6.97,542.00,396.05,2688
11/4/2008,650,40.42,18.83,706.00,301.89,3962
11/13/2008,360,49.14,25.47,582.00,432.99,2953
11/15/2008,500,45.52,16.90,658.00,467.71,3844
11/16/2008,540,36.04,14.54,1423.00,318.14,4410
11/20/2008,360,29.00,15.38,825.00,257.78,3940
11/23/2008,350,51.26,22.66,1273.00,506.00,2559
12/1/2008,460,46.37,23.32,535.00,299.29,4521
12/6/2008,920,36.75,18.11,1136.00,685.18,5845
12/7/2008,890,49.24,24.89,1132.00,399.11,7523
12/9/2008,990,45.04,23.73,1278.00,279.79,8043
12/10/2008,1030,34.01,16.90,1110.00,329.54,7851
12/11/2008,1050,38.28,20.15,1137.00,293.73,7226
12/12/2008,960,23.56,12.71,549.00,222.25,6111
12/13/2008,700,29.58,16.61,741.00,273.47,5598
12/14/2008,740,37.90,19.95,823.00,292.06,6244
12/15/2008,900,38.37,21.22,992.00,546.95,7021
12/16/2008,800,42.52,21.06,1087.00,275.79,7327
12/18/2008,900,35.11,19.55,840.00,291.01,7391
12/21/2008,750,64.46,33.48,936.00,521.51,5780
12/22/2008,920,52.91,25.62,555.00,311.19,6207
12/25/2008,720,34.71,18.49,469.00,235.06,3909
12/27/2008,720,21.86,11.48,648.00,221.40,3850
12/29/2008,480,20.49,11.22,682.00,179.91,3907
12/30/2008,390,12.27,6.78,452.00,136.29,3022
12/31/2008,480,14.31,7.29,535.00,299.29,2312
1/2/2009,300,13.24,6.23,780.00,418.16,2252
1/4/2009,400,48.91,21.29,692.00,276.48,2004
1/5/2009,240,23.48,12.61,971.00,248.79,1952
4/10/2009,1160,55.28,27.87,980.00,529.30,8919
4/11/2009,1200,46.02,10.28,811.67,511.65,10555
4/12/2009,1240,31.57,12.18,879.31,545.83,13310
4/13/2009,1160,62.37,20.66,1066.07,462.83,13775
4/14/2009,1320,79.08,36.85,1090.74,569.37,16213
4/15/2009,1320,82.62,40.03,1114.29,436.41,16844
4/17/2009,1440,83.38,41.46,775.00,467.77,19272
4/18/2009,1520,71.44,33.70,794.00,493.48,21393
4/19/2009,1600,54.51,26.43,882.14,436.64,19450
4/20/2009,1600,61.93,23.85,776.67,456.90,20842
4/21/2009,430,66.73,34.73,880.36,577.47,14832
4/23/2009,1200,56.17,29.79,1022.00,526.72,12512
4/25/2009,1440,79.92,37.95,990.00,533.94,18043
4/26/2009,1240,71.46,33.54,901.85,493.45,17211
4/27/2009,1520,68.92,32.20,1016.00,490.31,18454
4/28/2009,1320,92.42,38.94,925.00,458.53,18861
4/29/2009,1300,69.98,32.39,1128.00,514.93,19244
5/1/2009,1240,70.92,31.47,986.00,528.93,17909
5/2/2009,1200,55.57,27.53,946.00,499.88,15558
5/3/2009,1140,51.49,24.77,996.00,591.36,15930
5/4/2009,160,73.00,28.11,936.00,484.73,10691
5/7/2009,680,57.29,24.39,934.00,584.67,7591
5/8/2009,870,77.73,32.73,916.00,575.27,10333
5/9/2009,1170,69.55,29.38,960.00,609.34,12398
5/10/2009,1130,73.77,35.08,1000.00,469.07,14079
5/11/2009,1080,74.10,32.00,1024.00,537.10,12387
5/12/2009,1080,110.34,33.86,1048.33,422.65,14463
5/13/2009,1080,86.28,38.31,1096.43,475.04,16990
5/15/2009,980,105.66,41.77,876.79,394.75,11945
5/16/2009,1030,94.55,42.35,992.59,405.17,15853
5/17/2009,1140,54.28,18.96,1092.00,543.42,14286
5/19/2009,1190,40.89,19.30,1057.41,425.49,12936
5/20/2009,400,54.50,18.25,1196.00,458.21,10451
5/21/2009,210,46.77,22.07,1054.00,361.88,6929
5/24/2009,360,84.33,36.39,1128.85,430.82,4815
5/26/2009,480,51.89,21.44,1066.07,425.31,6595
5/27/2009,720,50.30,18.37,1194.44,441.38,8930
5/28/2009,720,47.89,17.08,1016.07,414.32,8111
5/29/2009,600,59.00,28.03,1096.30,447.42,4706
5/30/2009,620,48.77,22.28,1080.77,448.94,4555
5/31/2009,720,49.66,23.83,1150.00,445.28,6951
6/1/2009,720,43.64,21.35,841.07,379.18,7005
6/2/2009,180,26.78,12.50,830.00,379.18,3457
6/3/2009,540,47.33,19.38,1086.67,415.91,5114
6/4/2009,420,45.21,16.99,965.00,489.07,6258
6/5/2009,1000,51.88,24.95,993.33,417.28,5629
6/6/2009,910,55.59,26.55,963.33,384.10,8235
7/17/2009,1440,63.84,28.16,1120.00,357.82,11057
7/18/2009,1380,64.24,26.48,1779.00,304.09,10998
7/19/2009,1440,60.21,22.69,1992.00,214.79,12184
7/20/2009,1440,58.53,19.59,1214.00,580.56,10696
7/21/2009,1440,55.51,22.78,1029.00,313.51,10333
7/22/2009,1440,54.85,23.29,1056.00,435.31,10347
7/26/2009,600,72.88,27.49,1113.00,728.63,7497
7/27/2009,450,68.15,27.30,1088.00,533.16,6515
8/3/2009,600,72.95,28.64,980.00,602.85,5329
8/4/2009,450,61.96,25.86,737.00,349.89,5854
8/5/2009,450,64.10,27.10,1079.00,394.49,5054
8/6/2009,455,81.32,33.63,896.00,337.47,5074
8/7/2009,450,79.27,34.60,1613.00,240.76,4717
9/15/2009,390,58.87,27.28,895.00,329.65,2500
9/16/2009,500,47.01,19.09,933.00,445.51,2683
9/23/2009,560,52.42,21.93,732.00,237.24,3067
10/5/2009,320,59.00,27.28,1180.00,572.15,4310
10/6/2009,700,84.56,52.78,802.00,98.97,4078
10/7/2009,580,47.94,22.32,1098.00,296.13,3795
10/9/2009,575,41.64,19.31,758.00,154.21,2881
10/17/2009,680,64.58,31.05,1118.00,460.39,4047
10/18/2009,700,61.46,28.19,1021.00,511.02,3770
10/19/2009,750,72.07,36.26,903.00,407.96,4624
10/20/2009,400,69.16,31.74,1024.00,432.03,3942
10/21/2009,580,67.83,29.90,1677.00,278.85,4299
10/22/2009,400,64.22,29.82,1208.00,764.80,3914
11/5/2009,100,84.70,38.74,1180.00,572.15,1695
11/17/2009,360,40.68,20.01,1118.00,460.39,3191
11/19/2009,420,61.06,27.47,903.00,407.96,3517
11/21/2009,450,38.52,16.12,1677.00,278.85,3644
11/22/2009,450,47.31,22.44,1208.00,764.80,3683
1/9/2010,660,62.48,30.50,1103.00,750.30,5253
1/10/2010,690,50.13,24.73,1188.00,655.71,5538
1/11/2010,660,61.49,30.45,841.00,204.26,5401
3/4/2010,1210,70.77,30.87,510.00,295.58,4963
3/5/2010,1350,78.50,22.55,688.00,473.74,5180
8/19/2010,1350,55.99,26.53,917.00,493.78,11433
8/21/2010,1200,33.75,16.51,909.00,504.78,13015
8/22/2010,1080,61.19,28.77,805.00,387.73,8477
8/23/2010,1510,54.30,25.82,684.00,287.48,12051
8/24/2010,1380,54.19,26.52,780.00,431.30,11584
8/27/2010,1010,57.84,28.19,1350.00,933.80,12793
8/28/2010,1360,59.37,25.70,1331.67,930.56,10774
8/29/2010,1680,35.15,15.33,398.00,58.18,8705
8/30/2010,405,21.70,8.66,533.00,131.30,8224
8/31/2010,1250,37.15,19.94,389.00,50.86,4607
9/1/2010,820,59.90,27.25,1103.00,695.10,6354
9/2/2010,1640,43.51,21.93,492.11,279.95,7119
9/3/2010,1600,60.51,28.49,892.86,389.07,7670
9/4/2010,1400,58.32,28.85,721.00,232.67,9344
9/5/2010,1160,61.43,29.83,802.00,385.29,6070
9/6/2010,1240,58.84,27.37,914.00,525.49,9169
9/7/2010,1320,47.53,11.28,1012.00,687.57,8722
9/12/2010,1440,43.85,22.57,718.00,361.57,7900
9/13/2010,1520,43.40,22.66,705.00,307.20,7931
9/15/2010,920,59.15,33.29,376.00,138.34,4337
9/16/2010,1340,62.61,31.36,694.00,399.82,8686
9/17/2010,1620,56.32,29.02,773.00,368.69,10024
9/18/2010,1680,50.19,26.69,907.00,507.53,12093
9/19/2010,1620,57.49,30.80,521.00,294.90,10767
9/21/2010,1040,43.17,21.60,942.00,345.14,9590
9/22/2010,1460,55.35,29.82,852.00,355.94,8305
9/23/2010,1760,51.47,26.90,749.00,249.33,10215
9/26/2010,1960,38.92,21.28,399.00,92.27,12172
9/27/2010,2200,45.82,22.69,599.00,145.62,13213
9/28/2010,2200,58.13,28.45,860.29,288.99,12864
9/29/2010,2220,42.42,20.82,746.25,293.50,12297
10/3/2010,980,67.95,33.19,1025.71,681.09,10163
10/5/2010,400,49.68,25.28,815.00,322.10,6267
10/7/2010,1320,36.79,19.42,647.37,94.11,5873
10/10/2010,500,48.71,22.83,452.22,60.97,4822
10/12/2010,600,39.02,20.25,426.04,85.57,4120
10/17/2010,1450,62.84,25.86,623.26,211.51,5206
10/19/2010,1360,57.12,25.18,604.44,238.39,8967
10/21/2010,1310,49.40,21.72,513.04,186.09,6872
10/24/2010,1570,51.00,24.57,531.11,175.78,9524
10/26/2010,1420,55.95,26.71,514.44,173.88,8541
11/2/2010,1240,48.14,22.72,464.89,100.06,5377
11/4/2010,1810,67.19,31.05,852.33,560.87,7499
11/7/2010,1920,42.69,20.26,530.61,159.43,9985
11/9/2010,1960,48.52,23.47,480.43,142.42,10283
11/21/2010,800,42.01,22.96,855.56,605.27,6629
11/23/2010,1085,53.90,28.70,753.33,360.56,9263
11/25/2010,1114,49.93,24.27,857.61,259.09,7765
12/12/2010,600,50.10,22.53,631.52,153.09,3914
12/16/2010,560,50.72,27.77,333.33,35.77,4528
12/19/2010,1070,47.27,22.80,546.74,195.44,7186
12/23/2010,1410,54.41,28.16,629.07,189.77,7815
12/30/2010,1020,67.89,34.03,398.61,48.95,8143
1/2/2011,1270,49.94,25.21,675.58,287.70,7184
1/4/2011,1130,49.04,25.15,761.63,511.48,7310
1/6/2011,840,57.44,29.61,776.19,449.42,7311
1/9/2011,1170,44.19,21.43,732.61,412.40,8566
1/11/2011,1040,54.28,26.32,2201.22,797.23,9131
1/18/2011,1610,65.92,37.24,1070.00,716.83,9985
1/20/2011,1480,46.46,24.97,704.65,120.97,13858
1/23/2011,1790,62.72,33.78,1574.39,1226.66,12406
1/25/2011,970,70.56,33.77,1045.00,803.74,11424
1/27/2011,1150,58.26,36.15,1065.38,832.12,10833
1/30/2011,1440,35.35,11.31,1017.05,798.90,12400
2/2/2011,1210,49.69,25.77,743.48,457.42,11046
2/6/2011,1470,79.14,26.29,1126.92,858.64,10157
2/8/2011,1150,92.84,67.51,954.65,743.94,10377
2/13/2011,1530,47.49,25.96,839.58,459.59,12132
2/15/2011,1430,54.15,32.61,521.25,166.17,12363
2/17/2011,1240,60.05,33.65,934.09,678.64,14389
2/24/2011,1830,68.63,37.50,1227.38,731.21,11112
2/27/2011,1270,33.97,19.17,446.00,65.73,9362
3/6/2011,920,59.25,33.32,538.46,174.20,8697
3/8/2011,1320,58.06,30.91,965.91,763.24,11115
3/10/2011,900,45.59,24.01,378.89,150.13,8002
3/13/2011,960,44.13,23.96,540.00,64.32,8351
3/17/2011,1080,36.52,19.21,487.00,147.26,8257
3/22/2011,1120,68.92,34.53,1045.45,594.17,6897
3/24/2011,1010,44.86,24.51,461.22,85.97,9276
3/27/2011,1280,43.12,18.91,2931.91,316.96,18387
3/29/2011,1070,56.64,30.42,613.64,167.05,11951
3/31/2011,1270,49.59,24.05,1619.15,207.80,9840
4/3/2011,1270,71.51,25.49,1613.75,653.78,11900
4/7/2011,870,40.19,16.99,1076.25,450.48,9715
4/10/2011,800,46.17,26.58,571.74,99.67,8100
4/12/2011,820,43.22,27.71,593.75,109.17,7428
4/17/2011,1010,62.35,31.13,1578.05,223.76,13364
4/19/2011,310,82.97,39.52,961.45,697.49,8990
4/21/2011,905,55.91,27.26,691.30,306.45,10658
4/24/2011,810,47.89,24.06,633.71,175.03,9141
4/26/2011,720,53.93,32.63,829.55,449.26,11281
5/1/2011,1090,0.00,0.00,0.00,0.00,14776
5/3/2011,1110,0.00,0.00,0.00,0.00,12201
5/5/2011,550,0.00,0.00,0.00,0.00,11315
5/8/2011,1210,0.00,0.00,0.00,0.00,9600
5/10/2011,780,0.00,0.00,0.00,0.00,7912
5/15/2011,770,0.00,0.00,0.00,0.00,8423
5/24/2011,1060,0.00,0.00,0.00,0.00,9830
5/26/2011,795,0.00,0.00,0.00,0.00,7232
5/29/2011,1180,0.00,0.00,0.00,0.00,10675
5/31/2011,1150,0.00,0.00,0.00,0.00,10157
6/2/2011,1410,0.00,0.00,0.00,0.00,11655
6/9/2011,860,0.00,0.00,0.00,0.00,9743
6/14/2011,810,0.00,0.00,0.00,0.00,13845
6/16/2011,910,0.00,0.00,0.00,0.00,8493
6/23/2011,920,0.00,0.00,0.00,0.00,9534
6/30/2011,1140,0.00,38.33,0.00,0.00,11226
7/3/2011,1130,74.00,35.52,226.00,179.10,7078
7/5/2011,1030,45.01,21.61,892.50,110.47,8974
7/7/2011,910,46.88,22.50,308.33,162.40,6132
7/10/2011,940,38.19,18.33,277.17,109.25,5562
7/24/2011,810,71.55,34.34,430.00,63.43,5870
7/26/2011,1100,99.82,47.91,410.00,48.98,5207
7/28/2011,1110,86.02,41.29,1088.30,380.23,7551
